regn,regn_cbr,is_dead,death_date,closure_type,reason_text,reason_banki,reorg_info
2596,2596,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
2243,2243,True,,revocation,,отзыв лицензии,-1.0
1812,1812,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
3069,3069,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
1774,1774,True,,revocation,Регистрация признана ошибочной по решению ФНС,отзыв лицензии,-1.0
3301,3301,True,,reorganisation,Реорганизация путем присоединения,решение о ликвидации,-1.0
1814,1814,True,,revocation,,отзыв лицензии,
1322,1322,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
1830,1830,True,,revocation,,отзыв лицензии,
2623,2623,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2708,2708,True,,revocation,,отзыв лицензии,
3285,3285,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
3057,3057,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
,3447-К,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
741,741,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
1999,1999,True,,revocation,,отзыв лицензии,
2876,2876,True,,revocation,Закрыто налоговой службой из-за отсутствия признаков деятельности,,-1.0
1658,1658,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
1292,1292,True,,revocation,,отзыв лицензии,
2703,2703,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
907,907,True,,revocation,,отзыв лицензии,
1935,1935,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
1864,1864,True,,revocation,,отзыв лицензии,-1.0
932,932,True,,voluntary,,решение о ликвидации,
1819,1819,True,,revocation,,отзыв лицензии,
313,313,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
1210,1210,True,,voluntary,,решение о ликвидации,
3440,3440,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2823,2823,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
1174,1174,True,,revocation,,отзыв лицензии,
1674,1674,True,,revocation,,отзыв лицензии,
807,807,True,,revocation,,отзыв лицензии,
3075,3075,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
3063,3063,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
571,571,True,,voluntary,,решение о ликвидации,
2200,2200,True,,revocation,,отзыв лицензии,
2408,2408,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
871,871,True,,revocation,,отзыв лицензии,
1779,1779,True,,revocation,,отзыв лицензии,
2213,2213,True,,revocation,,отзыв лицензии,
2787,2787,True,,reorganisation,Реорганизация путем присоединения,решение о ликвидации,1.0
3091,3091,True,,revocation,,отзыв лицензии,
819,819,True,,voluntary,,решение о ликвидации,
751,751,True,,voluntary,,решение о ликвидации,
3113,3113,True,,revocation,,отзыв лицензии,
1789,1789,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
1799,1799,True,,revocation,,отзыв лицензии,
1198,1198,True,,revocation,,отзыв лицензии,
187,187,True,,revocation,,отзыв лицензии,
2977,2977,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2303,2303,True,,revocation,,отзыв лицензии,
922,922,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2089,2089,True,,revocation,,отзыв лицензии,
1575,1575,True,,revocation,Закрыто налоговой службой из-за отсутствия признаков деятельности,отзыв лицензии,-1.0
2361,2361,True,,reorganisation,Реорганизация путем присоединения,решение о ликвидации,-1.0
1412,1412,True,,revocation,,отзыв лицензии,
1286,1286,True,,voluntary,,решение о ликвидации,
1613,1613,True,,revocation,,отзыв лицензии,
,865-К,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
868,868,True,,voluntary,,решение о ликвидации,
1452,1452,True,,revocation,,отзыв лицензии,
1255,1255,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2346,2346,True,,reorganisation,Реорганизация путем присоединения,решение о ликвидации,-1.0
2637,2637,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
3125,3125,True,,revocation,,отзыв лицензии,
352,352,True,,revocation,,отзыв лицензии,
2230,2230,True,,revocation,,отзыв лицензии,
51,51,True,,revocation,Закрыто налоговой службой из-за отсутствия признаков деятельности,отзыв лицензии,-1.0
1429,1429,True,,voluntary,,решение о ликвидации,
2475,2475,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
1825,1825,True,,revocation,,отзыв лицензии,
,3462-К,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,,-1.0
457,457,True,,reorganisation,Реорганизация путем присоединения,решение о ликвидации,-1.0
985,985,True,,voluntary,,решение о ликвидации,
1729,1729,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
2591,2591,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
2885,2885,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
3280,3280,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
572,572,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2943,2943,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
711,711,True,,voluntary,,решение о ликвидации,
2414,2414,True,,revocation,,отзыв лицензии,
2139,2139,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
791,791,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2422,2422,True,,voluntary,Ликвидация по решению учредителей,решение о ликвидации,-1.0
1797,1797,True,,revocation,,отзыв лицензии,
